scenario_id,round,ue1_base_scale,ue2_base_scale,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,video_gap_mbps,video_worst_delivery_ratio,video_imbalance_mbps,ue1_offered_mbps,ue2_offered_mbps,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,label
load-u1-040-u2-015,3,0.4,0.15,5.6847228910042835,5.6847228910042835,1.0,0.0,1.0,2.8,4.48,1.4662927748581975,1.0,0.0,9.859277493243244,35.251193,LIGHT_85
load-u1-040-u2-025,1,0.4,0.25,7.28,7.28,1.0,0.0,1.0,1.68,4.48,2.8,1.0,0.0,10.215030288590603,38.440173,EQUAL_100
load-u1-040-u2-025,2,0.4,0.25,7.28,7.28,1.0,0.0,1.0,1.68,4.48,2.8,1.0,0.0,10.378577579999998,40.797465,EQUAL_100
load-u1-040-u2-025,3,0.4,0.25,6.6622411942884066,6.6622411942884066,1.0,0.0,1.0,1.7745986114277472,4.48,2.4438212914303294,1.0,0.0,11.695243744966444,39.839809,EQUAL_100
load-u1-040-u2-040,1,0.4,0.4,8.128516147319282,8.128516147319282,1.0,0.0,1.0,0.3082880147422273,4.48,3.910114066288527,1.0,0.0,10.171823167785234,43.009676,STRONG_40
load-u1-040-u2-040,2,0.4,0.4,8.128571757455852,8.128571757455852,1.0,0.0,1.0,0.3083436248787977,4.48,3.910114066288527,1.0,0.0,11.049695100671137,44.537971,STRONG_40
load-u1-040-u2-040,3,0.4,0.4,8.128626072965158,8.128626072965158,1.0,0.0,1.0,0.30839794038810303,4.48,3.910114066288527,1.0,0.0,10.889608791946308,71.573718,STRONG_40
load-u1-040-u2-055,1,0.4,0.55,9.594910233570516,9.594910233570516,1.0,0.0,1.0,1.1579034487229354,4.48,5.376406841146725,1.0,0.0,11.830323074324323,71.110943,EQUAL_100
load-u1-040-u2-055,2,0.4,0.55,9.594860912765558,9.594860912765558,1.0,0.0,1.0,1.1579527695278917,4.48,5.376406841146725,1.0,0.0,10.783591222972976,34.74364,EQUAL_100
load-u1-040-u2-055,3,0.4,0.55,9.594816842839402,9.594816842839402,1.0,0.0,1.0,1.15799683945405,4.48,5.376406841146725,1.0,0.0,9.566994873333334,38.713275,EQUAL_100
load-u1-040-u2-075,1,0.4,0.75,11.549933614889868,11.549933614889868,1.0,0.0,1.0,3.1129941336921108,4.48,7.331463874290989,1.0,0.0,10.75794603355704,49.718038,EQUAL_100
load-u1-040-u2-075,2,0.4,0.75,11.5499394218906,11.5499394218906,1.0,0.0,1.0,3.112988326691375,4.48,7.331463874290989,1.0,0.0,11.380128144827587,54.29796,EQUAL_100
load-u1-040-u2-075,3,0.4,0.75,12.879999999999999,12.879999999999999,1.0,0.0,1.0,3.919999999999998,4.48,8.399999999999999,1.0,0.0,9.753906328859065,39.275024,EQUAL_100
load-u1-040-u2-100,1,0.4,1.0,13.993717257591836,13.993717257591836,1.0,0.0,1.0,5.556853073850799,4.48,9.775285165721318,1.0,0.0,12.398602879194632,72.353945,STRONG_40
