timestamp,scenario_id,round,ue1_base_scale,ue2_base_scale,policy,policy_scale,sample_index,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,video_gap_mbps,video_worst_delivery_ratio,video_imbalance_mbps,ue1_offered_mbps,ue2_offered_mbps,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,sla_ok,ue_metrics
1785748030.1633716,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,LIGHT_85,0.85,1,6.243220489023177,6.243220489023177,1.0,0.0,1.0,4.228779510976823,5.236,1.0072204890231773,1.0,0.0,9.765876040000002,35.996698,1,"{""ue1"": {""delivered_bps"": 5236000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 5236000.0}, ""ue2"": {""delivered_bps"": 1007220.4890231773, ""delivery_ratio"": 1.0, ""offered_bps"": 1007220.4890231773}, ""ue3"": {""delivered_bps"": 130548.93793737997, ""delivery_ratio"": 1.0, ""jitter_ms"": 9.765876040000002, ""loss_percent"": 0.0, ""offered_bps"": 127989.1548405686, ""rtt_p95_ms"": 35.996698}}"
1785748031.2817347,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,LIGHT_85,0.85,2,6.664,6.664,1.0,0.0,1.0,3.808,5.236,1.428,1.0,0.0,10.397694664429531,39.250401,1,"{""ue1"": {""delivered_bps"": 5236000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 5236000.0}, ""ue2"": {""delivered_bps"": 1428000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 1428000.0}, ""ue3"": {""delivered_bps"": 125428.0494632085, ""delivery_ratio"": 1.0, ""jitter_ms"": 10.397694664429531, ""loss_percent"": 0.0, ""offered_bps"": 127987.80557470255, ""rtt_p95_ms"": 39.250401}}"
1785748036.593039,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,EQUAL_100,1.0,0,7.266756086934453,7.266756086934453,1.0,0.0,1.0,4.33417053721806,5.800463312076257,1.4662927748581975,0.9933333333333333,0.6666666666666666,11.100355986394561,41.517251,1,"{""ue1"": {""delivered_bps"": 5800463.312076257, ""delivery_ratio"": 1.0, ""offered_bps"": 5800463.312076257}, ""ue2"": {""delivered_bps"": 1466292.7748581974, ""delivery_ratio"": 1.0, ""offered_bps"": 1466292.7748581974}, ""ue3"": {""delivered_bps"": 138229.94046074973, ""delivery_ratio"": 0.9933333333333333, ""jitter_ms"": 11.100355986394561, ""loss_percent"": 0.6666666666666666, ""offered_bps"": 127990.6856118053, ""rtt_p95_ms"": 41.517251}}"
1785748037.7192702,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,EQUAL_100,1.0,1,7.84,7.84,1.0,0.0,1.0,4.48,6.16,1.68,1.0,0.0,12.521916547297293,81.541867,0,"{""ue1"": {""delivered_bps"": 6160000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 6160000.0}, ""ue2"": {""delivered_bps"": 1680000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 1680000.0}, ""ue3"": {""delivered_bps"": 127989.92066484963, ""delivery_ratio"": 1.0, ""jitter_ms"": 12.521916547297293, ""loss_percent"": 0.0, ""offered_bps"": 127989.92066484963, ""rtt_p95_ms"": 81.541867}}"
1785748038.850278,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,EQUAL_100,1.0,2,7.84,7.84,1.0,0.0,1.0,4.48,6.16,1.68,1.0,0.0,11.459142593333338,48.533588,1,"{""ue1"": {""delivered_bps"": 6160000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 6160000.0}, ""ue2"": {""delivered_bps"": 1680000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 1680000.0}, ""ue3"": {""delivered_bps"": 130548.34856235796, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.459142593333338, ""loss_percent"": 0.0, ""offered_bps"": 127988.57702191957, ""rtt_p95_ms"": 48.533588}}"
1785748044.2065623,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,STRONG_40,0.4,0,3.29768722151383,3.29768722151383,1.0,0.0,1.0,1.3426301883695666,2.3201587049416985,0.9775285165721318,1.0,0.0,11.65578088,67.160382,0,"{""ue1"": {""delivered_bps"": 2320158.7049416984, ""delivery_ratio"": 1.0, ""offered_bps"": 2320158.7049416984}, ""ue2"": {""delivered_bps"": 977528.5165721318, ""delivery_ratio"": 1.0, ""offered_bps"": 977528.5165721318}, ""ue3"": {""delivered_bps"": 130550.19724692049, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.65578088, ""loss_percent"": 0.0, ""offered_bps"": 127990.3894577652, ""rtt_p95_ms"": 67.160382}}"
1785748045.351546,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,STRONG_40,0.4,1,3.2539768541358254,3.2539768541358254,1.0,0.0,1.0,1.6740231458641748,2.464,0.7899768541358254,1.0,0.0,11.193745020000005,35.292799,1,"{""ue1"": {""delivered_bps"": 2464000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 2464000.0}, ""ue2"": {""delivered_bps"": 789976.8541358254, ""delivery_ratio"": 1.0, ""offered_bps"": 789976.8541358254}, ""ue3"": {""delivered_bps"": 127989.83606943677, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.193745020000005, ""loss_percent"": 0.0, ""offered_bps"": 127989.83606943677, ""rtt_p95_ms"": 35.292799}}"
1785748046.4920318,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,STRONG_40,0.4,2,3.584,3.584,1.0,0.0,1.0,1.344,2.464,1.12,1.0,0.0,9.569076456375837,34.824575,1,"{""ue1"": {""delivered_bps"": 2464000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 2464000.0}, ""ue2"": {""delivered_bps"": 1120000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 1120000.0}, ""ue3"": {""delivered_bps"": 125430.15173065194, ""delivery_ratio"": 1.0, ""jitter_ms"": 9.569076456375837, ""loss_percent"": 0.0, ""offered_bps"": 127989.9507455632, ""rtt_p95_ms"": 34.824575}}"
1785748051.8867097,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,MEDIUM_70,0.7,0,5.086692199979857,5.086692199979857,1.0,0.0,1.0,3.0338823151783796,4.060287257579118,1.0264049424007384,1.0,0.0,10.813893248322145,38.477057,1,"{""ue1"": {""delivered_bps"": 4060287.257579118, ""delivery_ratio"": 1.0, ""offered_bps"": 4060287.257579118}, ""ue2"": {""delivered_bps"": 1026404.9424007385, ""delivery_ratio"": 1.0, ""offered_bps"": 1026404.9424007385}, ""ue3"": {""delivered_bps"": 127990.67421407696, ""delivery_ratio"": 1.0, ""jitter_ms"": 10.813893248322145, ""loss_percent"": 0.0, ""offered_bps"": 127990.67421407696, ""rtt_p95_ms"": 38.477057}}"
1785748053.0622866,fair-base8-w3-r02-u1-055-u2-015,2,0.55,0.15,MEDIUM_70,0.7,1,5.487999999999999,5.487999999999999,1.0,0.0,1.0,3.1359999999999992,4.311999999999999,1.176,1.0,0.0,11.762054243243249,46.265535,1,"{""ue1"": {""delivered_bps"": 4311999.999999999, ""delivery_ratio"": 1.0, ""offered_bps"": 4311999.999999999}, ""ue2"": {""delivered_bps"": 1176000.0, ""delivery_ratio"": 1.0, ""offered_bps"": 1176000.0}, ""ue3"": {""delivered_bps"": 127990.87617020433, ""delivery_ratio"": 1.0, ""jitter_ms"": 11.762054243243249, ""loss_percent"": 0.0, ""offered_bps"": 127990.87617020433, ""rtt_p95_ms"": 46.265535}}"
