scenario_id,video_ue_count,active_voice_count,video_base_demand_mbps,video_offered_mbps,video_delivered_mbps,video_delivery_ratio,voice_delivery_ratio,voice_loss_percent,voice_jitter_ms,voice_rtt_p95_ms,ue9_active,ue10_active,label
round-2-ue10-1785385377,8.0,1.0,8.677425102316159,8.677425102316159,8.589372517328318,0.9898526828005306,1.0,0.0,12.202777593333334,137.543564,0.0,1.0,LIGHT_85
round-2-ue10-1785385377,8.0,1.0,8.369804820632096,8.369804820632096,9.489351531125113,1.0,1.0,0.0,12.625131255033553,103.721797,0.0,1.0,LIGHT_85
round-2-ue9-1785385336,8.0,1.0,7.59403577638827,7.59403577638827,8.081901167051317,1.0,1.0,0.0,13.110291053333334,77.823259,1.0,0.0,EQUAL_100
round-2-ue9-1785385336,8.0,1.0,6.923135054623058,6.923135054623058,8.081901167051317,1.0,1.0,0.0,12.2542575472973,77.823259,1.0,0.0,EQUAL_100
round-2-ue9-1785385336,8.0,1.0,8.066743074378998,8.066743074378998,7.819222558415358,0.9693159291573578,1.0,0.0,12.33046379194631,71.312644,1.0,0.0,EQUAL_100
round-2-ue9-1785385336,8.0,1.0,8.428437262966543,8.428437262966543,7.819222558415358,0.9277191387271759,1.0,0.0,12.49290248993289,77.961351,1.0,0.0,EQUAL_100
round-2-ue9-1785385336,8.0,1.0,9.045221762950836,9.045221762950836,9.092430756696661,1.0,1.0,0.0,14.391557653333336,96.883869,1.0,0.0,EQUAL_100
round-2-ue9-1785385336,8.0,1.0,8.336643233427392,8.336643233427392,9.092430756696661,1.0,1.0,0.0,14.028989709459454,83.88331,1.0,0.0,EQUAL_100
round-2-ue9-ue10-1785385418,8.0,2.0,8.74917643607327,8.74917643607327,9.298279750901584,1.0,1.0,0.0,15.401418413333332,140.152127,1.0,1.0,LIGHT_85
round-2-ue9-ue10-1785385418,8.0,2.0,9.47495433988328,9.47495433988328,9.298279750901584,0.9813535155269284,1.0,0.0,15.154996409395974,127.577211,1.0,1.0,LIGHT_85
round-2-ue9-ue10-1785385418,8.0,2.0,9.141897306340889,9.141897306340889,9.629669282544105,1.0,1.0,0.0,14.61581935333334,127.577211,1.0,1.0,LIGHT_85
round-2-ue9-ue10-1785385418,8.0,2.0,7.790937690127971,7.790937690127971,9.629669282544105,1.0,1.0,0.0,12.684273959731547,96.171085,1.0,1.0,LIGHT_85
round-2-ue9-ue10-1785385418,8.0,2.0,8.281051029952597,8.281051029952597,8.45862380053565,1.0,0.9933333333333333,0.6666666666666666,13.05126593877551,104.910241,1.0,1.0,LIGHT_85
round-2-ue9-ue10-1785385418,8.0,2.0,7.235476132713509,7.235476132713509,8.45862380053565,1.0,1.0,0.0,13.662967554054052,100.414318,1.0,1.0,LIGHT_85
round-3-ue10-1785385500,8.0,1.0,7.681520050468426,7.681520050468426,7.98412825974234,1.0,0.9867549668874173,1.3245033112582782,11.51221355782313,50.006137,0.0,1.0,EQUAL_100
round-3-ue10-1785385500,8.0,1.0,7.4463156211514265,7.4463156211514265,7.98412825974234,1.0,0.9933333333333333,0.6666666666666666,12.338404952380953,53.548141,0.0,1.0,EQUAL_100
round-3-ue10-1785385500,8.0,1.0,8.386359224272459,8.386359224272459,8.341723783432434,0.9946776140102802,1.0,0.0,12.935858999999997,67.890428,0.0,1.0,EQUAL_100
round-3-ue10-1785385500,8.0,1.0,7.636942500276176,7.636942500276176,8.341723783432434,1.0,1.0,0.0,12.715601362416109,81.568614,0.0,1.0,EQUAL_100
round-3-ue10-1785385500,8.0,1.0,7.530816770526475,7.530816770526475,7.925794504969075,1.0,0.9933333333333333,0.6666666666666666,12.100134476190474,64.056771,0.0,1.0,EQUAL_100
round-3-ue10-1785385500,8.0,1.0,8.5087981594365,8.5087981594365,7.925794504969075,0.9314822559492898,1.0,0.0,13.589209847682113,77.554124,0.0,1.0,EQUAL_100
round-3-ue9-1785385459,8.0,1.0,8.360997887135566,8.360997887135566,8.376110100732097,1.0,1.0,0.0,12.129378066666664,95.61357,1.0,0.0,LIGHT_85
round-3-ue9-1785385459,8.0,1.0,8.780956871152766,8.780956871152766,8.672448438898233,0.98764275535722,1.0,0.0,12.960565619999999,109.29511,1.0,0.0,LIGHT_85
round-3-ue9-1785385459,8.0,1.0,9.058187414087245,9.058187414087245,8.672448438898233,0.9574154345063435,1.0,0.0,13.947878713333342,98.640106,1.0,0.0,LIGHT_85
round-3-ue9-1785385459,8.0,1.0,9.124604863665425,9.124604863665425,9.70575020153827,1.0,1.0,0.0,13.87013747972973,127.724814,1.0,0.0,LIGHT_85
round-3-ue9-1785385459,8.0,1.0,8.23971369375895,8.23971369375895,9.70575020153827,1.0,1.0,0.0,12.7655623445946,127.724814,1.0,0.0,LIGHT_85
round-3-ue9-1785385459,8.0,1.0,7.947175930935979,7.947175930935979,8.433188166466058,1.0,1.0,0.0,12.882257496644293,60.006774,1.0,0.0,LIGHT_85
round-3-ue9-ue10-1785385541,8.0,2.0,7.057919463916587,7.057919463916587,5.721395240563773,0.8106348152333338,0.9933774834437086,0.6622516556291391,12.826062560810804,86.454641,1.0,1.0,MEDIUM_70
round-3-ue9-ue10-1785385541,8.0,2.0,7.418671269557134,7.418671269557134,7.547558107933789,1.0,0.9866666666666667,1.3333333333333333,12.6234451780822,87.464478,1.0,1.0,MEDIUM_70
round-3-ue9-ue10-1785385541,8.0,2.0,8.383731039432073,8.383731039432073,7.547558107933789,0.9002624335674146,0.9733333333333334,2.6666666666666665,13.914923291666664,133.985337,1.0,1.0,MEDIUM_70
round-3-ue9-ue10-1785385541,8.0,2.0,7.677923229914851,7.677923229914851,8.194072741999687,1.0,1.0,0.0,14.306509103896111,148.088141,1.0,1.0,MEDIUM_70
round-3-ue9-ue10-1785385541,8.0,2.0,7.938016835778746,7.938016835778746,8.194072741999687,1.0,1.0,0.0,14.18188627027028,116.546381,1.0,1.0,MEDIUM_70
round-3-ue9-ue10-1785385541,8.0,2.0,8.302843083123436,8.302843083123436,8.572502503286241,1.0,0.9666666666666667,3.3333333333333335,13.678192639455784,136.937434,1.0,1.0,MEDIUM_70
